time,water_level,sigma,flags,quality
2017-09-12 00:00:00,-0.027,0.013,"0,0,0,0",v
2017-09-12 00:06:00,-0.017,0.012,"0,0,0,0",v
2017-09-12 00:12:00,-0.003,0.013,"0,0,0,0",v
2017-09-12 00:18:00,0.015,0.012,"0,0,0,0",v
2017-09-12 00:24:00,0.041,0.01,"0,0,0,0",v
2017-09-12 00:30:00,0.053,0.009,"0,0,0,0",v
2017-09-12 00:36:00,0.072,0.01,"0,0,0,0",v
2017-09-12 00:42:00,0.081,0.011,"0,0,0,0",v
2017-09-12 00:48:00,0.087,0.01,"0,0,0,0",v
2017-09-12 00:54:00,0.102,0.009,"0,0,0,0",v
2017-09-12 01:00:00,0.122,0.009,"0,0,0,0",v
2017-09-12 01:06:00,0.144,0.006,"0,0,0,0",v
2017-09-12 01:12:00,0.155,0.005,"0,0,0,0",v
2017-09-12 01:18:00,0.175,0.007,"0,0,0,0",v
2017-09-12 01:24:00,0.217,0.005,"0,0,0,0",v
2017-09-12 01:30:00,0.246,0.006,"0,0,0,0",v
2017-09-12 01:36:00,0.274,0.006,"0,0,0,0",v
2017-09-12 01:42:00,0.309,0.008,"0,0,0,0",v
2017-09-12 01:48:00,0.348,0.007,"0,0,0,0",v
2017-09-12 01:54:00,0.383,0.008,"0,0,0,0",v
2017-09-12 02:00:00,0.415,0.008,"0,0,0,0",v
2017-09-12 02:06:00,0.446,0.007,"0,0,0,0",v
2017-09-12 02:12:00,0.481,0.008,"0,0,0,0",v
2017-09-12 02:18:00,0.541,0.009,"0,0,0,0",v
2017-09-12 02:24:00,0.555,0.007,"0,0,0,0",v
2017-09-12 02:30:00,0.6,0.009,"0,0,0,0",v
2017-09-12 02:36:00,0.651,0.008,"0,0,0,0",v
2017-09-12 02:42:00,0.689,0.007,"0,0,0,0",v
2017-09-12 02:48:00,0.722,0.007,"0,0,0,0",v
2017-09-12 02:54:00,0.768,0.009,"0,0,0,0",v
2017-09-12 03:00:00,0.818,0.007,"0,0,0,0",v
2017-09-12 03:06:00,0.85,0.007,"0,0,0,0",v
2017-09-12 03:12:00,0.893,0.008,"0,0,0,0",v
2017-09-12 03:18:00,0.931,0.008,"0,0,0,0",v
2017-09-12 03:24:00,0.959,0.01,"0,0,0,0",v
2017-09-12 03:30:00,0.992,0.006,"0,0,0,0",v
2017-09-12 03:36:00,1.02,0.008,"0,0,0,0",v
2017-09-12 03:42:00,1.048,0.006,"0,0,0,0",v
2017-09-12 03:48:00,1.08,0.008,"0,0,0,0",v
2017-09-12 03:54:00,1.124,0.007,"0,0,0,0",v
2017-09-12 04:00:00,1.146,0.006,"0,0,0,0",v
2017-09-12 04:06:00,1.179,0.009,"0,0,0,0",v
2017-09-12 04:12:00,1.227,0.007,"0,0,0,0",v
2017-09-12 04:18:00,1.26,0.008,"0,0,0,0",v
2017-09-12 04:24:00,1.285,0.01,"0,0,0,0",v
2017-09-12 04:30:00,1.329,0.008,"0,0,0,0",v
2017-09-12 04:36:00,1.357,0.008,"0,0,0,0",v
2017-09-12 04:42:00,1.373,0.007,"0,0,0,0",v
2017-09-12 04:48:00,1.391,0.007,"0,0,0,0",v
2017-09-12 04:54:00,1.392,0.007,"0,0,0,0",v
2017-09-12 05:00:00,1.408,0.009,"0,0,0,0",v
2017-09-12 05:06:00,1.409,0.006,"0,0,0,0",v
2017-09-12 05:12:00,1.413,0.005,"0,0,0,0",v
2017-09-12 05:18:00,1.422,0.006,"0,0,0,0",v
2017-09-12 05:24:00,1.416,0.007,"0,0,0,0",v
2017-09-12 05:30:00,1.42,0.005,"0,0,0,0",v
2017-09-12 05:36:00,1.419,0.005,"0,0,0,0",v
2017-09-12 05:42:00,1.41,0.004,"0,0,0,0",v
2017-09-12 05:48:00,1.402,0.005,"0,0,0,0",v
2017-09-12 05:54:00,1.39,0.006,"0,0,0,0",v
2017-09-12 06:00:00,1.373,0.005,"0,0,0,0",v
2017-09-12 06:06:00,1.351,0.005,"0,0,0,0",v
2017-09-12 06:12:00,1.341,0.009,"0,0,0,0",v
2017-09-12 06:18:00,1.308,0.008,"0,0,0,0",v
2017-09-12 06:24:00,1.289,0.007,"0,0,0,0",v
2017-09-12 06:30:00,1.258,0.009,"0,0,0,0",v
2017-09-12 06:36:00,1.219,0.007,"0,0,0,0",v
2017-09-12 06:42:00,1.183,0.009,"0,0,0,0",v
2017-09-12 06:48:00,1.148,0.007,"0,0,0,0",v
2017-09-12 06:54:00,1.107,0.006,"0,0,0,0",v
2017-09-12 07:00:00,1.073,0.007,"0,0,0,0",v
2017-09-12 07:06:00,1.034,0.007,"0,0,0,0",v
2017-09-12 07:12:00,0.993,0.006,"0,0,0,0",v
2017-09-12 07:18:00,0.951,0.006,"0,0,0,0",v
2017-09-12 07:24:00,0.909,0.008,"0,0,0,0",v
2017-09-12 07:30:00,0.872,0.007,"0,0,0,0",v
2017-09-12 07:36:00,0.824,0.008,"0,0,0,0",v
2017-09-12 07:42:00,0.776,0.009,"0,0,0,0",v
2017-09-12 07:48:00,0.729,0.006,"0,0,0,0",v
2017-09-12 07:54:00,0.681,0.01,"0,0,0,0",v
2017-09-12 08:00:00,0.624,0.009,"0,0,0,0",v
2017-09-12 08:06:00,0.571,0.009,"0,0,0,0",v
2017-09-12 08:12:00,0.517,0.01,"0,0,0,0",v
2017-09-12 08:18:00,0.456,0.012,"0,0,0,0",v
2017-09-12 08:24:00,0.398,0.012,"0,0,0,0",v
2017-09-12 08:30:00,0.343,0.013,"0,0,0,0",v
2017-09-12 08:36:00,0.302,0.01,"0,0,0,0",v
2017-09-12 08:42:00,0.25,0.013,"0,0,0,0",v
2017-09-12 08:48:00,0.199,0.011,"0,0,0,0",v
2017-09-12 08:54:00,0.146,0.014,"0,0,0,0",v
2017-09-12 09:00:00,0.1,0.011,"0,0,0,0",v
2017-09-12 09:06:00,0.053,0.016,"0,0,0,0",v
2017-09-12 09:12:00,0.003,0.013,"0,0,0,0",v
2017-09-12 09:18:00,-0.045,0.013,"0,0,0,0",v
2017-09-12 09:24:00,-0.086,0.016,"0,0,0,0",v
2017-09-12 09:30:00,-0.124,0.014,"0,0,0,0",v
2017-09-12 09:36:00,-0.175,0.018,"0,0,0,0",v
2017-09-12 09:42:00,-0.224,0.018,"0,0,0,0",v
2017-09-12 09:48:00,-0.275,0.017,"0,0,0,0",v
2017-09-12 09:54:00,-0.321,0.019,"0,0,0,0",v
2017-09-12 10:00:00,-0.372,0.014,"0,0,0,0",v
2017-09-12 10:06:00,-0.421,0.018,"0,0,0,0",v
2017-09-12 10:12:00,-0.467,0.016,"0,0,0,0",v
2017-09-12 10:18:00,-0.515,0.019,"0,0,0,0",v
2017-09-12 10:24:00,-0.55,0.016,"0,0,0,0",v
2017-09-12 10:30:00,-0.575,0.017,"0,0,0,0",v
2017-09-12 10:36:00,-0.62,0.021,"0,0,0,0",v
2017-09-12 10:42:00,-0.654,0.012,"0,0,0,0",v
2017-09-12 10:48:00,-0.686,0.019,"0,0,0,0",v
2017-09-12 10:54:00,-0.706,0.018,"0,0,0,0",v
2017-09-12 11:00:00,-0.73,0.012,"0,0,0,0",v
2017-09-12 11:06:00,-0.758,0.016,"0,0,0,0",v
2017-09-12 11:12:00,-0.781,0.018,"0,0,0,0",v
2017-09-12 11:18:00,-0.804,0.016,"0,0,0,0",v
2017-09-12 11:24:00,-0.817,0.026,"0,0,0,0",v
2017-09-12 11:30:00,-0.83,0.022,"0,0,0,0",v
2017-09-12 11:36:00,-0.844,0.018,"0,0,0,0",v
2017-09-12 11:42:00,-0.85,0.016,"0,0,0,0",v
2017-09-12 11:48:00,-0.852,0.009,"0,0,0,0",v
2017-09-12 11:54:00,-0.863,0.015,"0,0,0,0",v
2017-09-12 12:00:00,-0.856,0.019,"0,0,0,0",v
2017-09-12 12:06:00,-0.845,0.01,"0,0,0,0",v
2017-09-12 12:12:00,-0.838,0.016,"0,0,0,0",v
2017-09-12 12:18:00,-0.823,0.018,"0,0,0,0",v
2017-09-12 12:24:00,-0.793,0.011,"0,0,0,0",v
2017-09-12 12:30:00,-0.772,0.011,"0,0,0,0",v
2017-09-12 12:36:00,-0.741,0.009,"0,0,0,0",v
2017-09-12 12:42:00,-0.694,0.009,"0,0,0,0",v
2017-09-12 12:48:00,-0.646,0.011,"0,0,0,0",v
2017-09-12 12:54:00,-0.609,0.01,"0,0,0,0",v
2017-09-12 13:00:00,-0.56,0.006,"0,0,0,0",v
2017-09-12 13:06:00,-0.509,0.008,"0,0,0,0",v
2017-09-12 13:12:00,-0.465,0.007,"0,0,0,0",v
2017-09-12 13:18:00,-0.415,0.01,"0,0,0,0",v
2017-09-12 13:24:00,-0.364,0.009,"0,0,0,0",v
2017-09-12 13:30:00,-0.31,0.007,"0,0,0,0",v
2017-09-12 13:36:00,-0.258,0.009,"0,0,0,0",v
2017-09-12 13:42:00,-0.206,0.007,"0,0,0,0",v
2017-09-12 13:48:00,-0.147,0.009,"0,0,0,0",v
2017-09-12 13:54:00,-0.09,0.009,"0,0,0,0",v
2017-09-12 14:00:00,-0.038,0.009,"0,0,0,0",v
2017-09-12 14:06:00,0.01,0.01,"0,0,0,0",v
2017-09-12 14:12:00,0.066,0.007,"0,0,0,0",v
2017-09-12 14:18:00,0.11,0.006,"0,0,0,0",v
2017-09-12 14:24:00,0.161,0.008,"0,0,0,0",v
2017-09-12 14:30:00,0.209,0.008,"0,0,0,0",v
2017-09-12 14:36:00,0.266,0.009,"0,0,0,0",v
2017-09-12 14:42:00,0.317,0.008,"0,0,0,0",v
2017-09-12 14:48:00,0.37,0.007,"0,0,0,0",v
2017-09-12 14:54:00,0.421,0.009,"0,0,0,0",v
2017-09-12 15:00:00,0.479,0.007,"0,0,0,0",v
2017-09-12 15:06:00,0.535,0.012,"0,0,0,0",v
2017-09-12 15:12:00,0.588,0.008,"0,0,0,0",v
2017-09-12 15:18:00,0.641,0.006,"0,0,0,0",v
2017-09-12 15:24:00,0.693,0.008,"0,0,0,0",v
2017-09-12 15:30:00,0.743,0.008,"0,0,0,0",v
2017-09-12 15:36:00,0.795,0.007,"0,0,0,0",v
2017-09-12 15:42:00,0.841,0.007,"0,0,0,0",v
2017-09-12 15:48:00,0.886,0.007,"0,0,0,0",v
2017-09-12 15:54:00,0.938,0.007,"0,0,0,0",v
2017-09-12 16:00:00,0.985,0.006,"0,0,0,0",v
2017-09-12 16:06:00,1.021,0.006,"0,0,0,0",v
2017-09-12 16:12:00,1.05,0.005,"0,0,0,0",v
2017-09-12 16:18:00,1.082,0.006,"0,0,0,0",v
2017-09-12 16:24:00,1.114,0.005,"0,0,0,0",v
2017-09-12 16:30:00,1.132,0.004,"0,0,0,0",v
2017-09-12 16:36:00,1.156,0.007,"0,0,0,0",v
2017-09-12 16:42:00,1.199,0.005,"0,0,0,0",v
2017-09-12 16:48:00,1.224,0.004,"0,0,0,0",v
2017-09-12 16:54:00,1.249,0.005,"0,0,0,0",v
2017-09-12 17:00:00,1.288,0.004,"0,0,0,0",v
2017-09-12 17:06:00,1.31,0.005,"0,0,0,0",v
2017-09-12 17:12:00,1.326,0.004,"0,0,0,0",v
2017-09-12 17:18:00,1.341,0.004,"0,0,0,0",v
2017-09-12 17:24:00,1.348,0.003,"0,0,0,0",v
2017-09-12 17:30:00,1.353,0.004,"0,0,0,0",v
2017-09-12 17:36:00,1.361,0.004,"0,0,0,0",v
2017-09-12 17:42:00,1.36,0.004,"0,0,0,0",v
2017-09-12 17:48:00,1.365,0.003,"0,0,0,0",v
2017-09-12 17:54:00,1.369,0.003,"0,0,0,0",v
2017-09-12 18:00:00,1.366,0.006,"0,0,0,0",v
2017-09-12 18:06:00,1.361,0.004,"0,0,0,0",v
2017-09-12 18:12:00,1.358,0.003,"0,0,0,0",v
2017-09-12 18:18:00,1.349,0.004,"0,0,0,0",v
2017-09-12 18:24:00,1.331,0.005,"0,0,0,0",v
2017-09-12 18:30:00,1.32,0.004,"0,0,0,0",v
2017-09-12 18:36:00,1.298,0.005,"0,0,0,0",v
2017-09-12 18:42:00,1.283,0.003,"0,0,0,0",v
2017-09-12 18:48:00,1.262,0.005,"0,0,0,0",v
2017-09-12 18:54:00,1.237,0.007,"0,0,0,0",v
2017-09-12 19:00:00,1.214,0.005,"0,0,0,0",v
2017-09-12 19:06:00,1.193,0.005,"0,0,0,0",v
2017-09-12 19:12:00,1.166,0.006,"0,0,0,0",v
2017-09-12 19:18:00,1.133,0.006,"0,0,0,0",v
2017-09-12 19:24:00,1.102,0.006,"0,0,0,0",v
2017-09-12 19:30:00,1.06,0.007,"0,0,0,0",v
2017-09-12 19:36:00,1.02,0.006,"0,0,0,0",v
2017-09-12 19:42:00,0.971,0.006,"0,0,0,0",v
2017-09-12 19:48:00,0.931,0.008,"0,0,0,0",v
2017-09-12 19:54:00,0.884,0.008,"0,0,0,0",v
2017-09-12 20:00:00,0.831,0.006,"0,0,0,0",v
2017-09-12 20:06:00,0.784,0.008,"0,0,0,0",v
2017-09-12 20:12:00,0.744,0.009,"0,0,0,0",v
2017-09-12 20:18:00,0.693,0.01,"0,0,0,0",v
2017-09-12 20:24:00,0.646,0.008,"0,0,0,0",v
2017-09-12 20:30:00,0.604,0.008,"0,0,0,0",v
2017-09-12 20:36:00,0.555,0.008,"0,0,0,0",v
2017-09-12 20:42:00,0.51,0.009,"0,0,0,0",v
2017-09-12 20:48:00,0.463,0.009,"0,0,0,0",v
2017-09-12 20:54:00,0.419,0.009,"0,0,0,0",v
2017-09-12 21:00:00,0.364,0.009,"0,0,0,0",v
2017-09-12 21:06:00,0.314,0.01,"0,0,0,0",v
2017-09-12 21:12:00,0.267,0.009,"0,0,0,0",v
2017-09-12 21:18:00,0.21,0.014,"0,0,0,0",v
2017-09-12 21:24:00,0.16,0.01,"0,0,0,0",v
2017-09-12 21:30:00,0.108,0.009,"0,0,0,0",v
2017-09-12 21:36:00,0.048,0.012,"0,0,0,0",v
2017-09-12 21:42:00,-0.004,0.011,"0,0,0,0",v
2017-09-12 21:48:00,-0.06,0.011,"0,0,0,0",v
2017-09-12 21:54:00,-0.112,0.012,"0,0,0,0",v
2017-09-12 22:00:00,-0.143,0.01,"0,0,0,0",v
2017-09-12 22:06:00,-0.265,0.015,"0,0,0,0",v
2017-09-12 22:12:00,-0.272,0.016,"0,0,0,0",v
2017-09-12 22:18:00,-0.323,0.018,"0,0,0,0",v
2017-09-12 22:24:00,-0.384,0.016,"0,0,0,0",v
2017-09-12 22:30:00,-0.428,0.014,"0,0,0,0",v
2017-09-12 22:36:00,-0.486,0.017,"0,0,0,0",v
2017-09-12 22:42:00,-0.541,0.013,"0,0,0,0",v
2017-09-12 22:48:00,-0.558,0.017,"0,0,0,0",v
2017-09-12 22:54:00,-0.623,0.017,"0,0,0,0",v
2017-09-12 23:00:00,-0.644,0.025,"0,0,0,0",v
2017-09-12 23:06:00,-0.692,0.013,"0,0,0,0",v
2017-09-12 23:12:00,-0.722,0.013,"0,0,0,0",v
2017-09-12 23:18:00,-0.764,0.012,"0,0,0,0",v
2017-09-12 23:24:00,-0.784,0.013,"0,0,0,0",v
2017-09-12 23:30:00,-0.813,0.01,"0,0,0,0",v
2017-09-12 23:36:00,-0.833,0.013,"0,0,0,0",v
2017-09-12 23:42:00,-0.847,0.019,"0,0,0,0",v
2017-09-12 23:48:00,-0.867,0.014,"0,0,0,0",v
2017-09-12 23:54:00,-0.879,0.017,"0,0,0,0",v
2017-09-13 00:00:00,-0.895,0.01,"0,0,0,0",v
